area,old_path,port_paths,status
armor,armor/angmar_1.png,src/main/resources/assets/lotr/textures/entity/equipment/humanoid/angmar.png,ported
armor,armor/angmar_2.png,src/main/resources/assets/lotr/textures/entity/equipment/humanoid_leggings/angmar.png,ported
armor,armor/arnor_1.png,src/main/resources/assets/lotr/textures/entity/equipment/humanoid/arnor.png,ported
armor,armor/arnor_2.png,src/main/resources/assets/lotr/textures/entity/equipment/humanoid_leggings/arnor.png,ported
armor,armor/arnor_helmet.png,src/main/resources/assets/lotr/textures/entity/equipment/humanoid/arnor_helmet.png,ported
armor,armor/black_numenorean_1.png,src/main/resources/assets/lotr/textures/entity/equipment/humanoid/black_numenorean.png,ported
armor,armor/black_numenorean_2.png,src/main/resources/assets/lotr/textures/entity/equipment/humanoid_leggings/black_numenorean.png,ported
armor,armor/black_numenorean_helmet.png,src/main/resources/assets/lotr/textures/entity/equipment/humanoid/black_numenorean_helmet.png,ported
armor,armor/black_uruk_1.png,src/main/resources/assets/lotr/textures/entity/equipment/humanoid/black_uruk.png,ported
armor,armor/black_uruk_2.png,src/main/resources/assets/lotr/textures/entity/equipment/humanoid_leggings/black_uruk.png,ported
armor,armor/blackroot_1.png,src/main/resources/assets/lotr/textures/entity/equipment/humanoid/blackroot.png,ported
armor,armor/blackroot_2.png,src/main/resources/assets/lotr/textures/entity/equipment/humanoid_leggings/blackroot.png,ported
armor,armor/blue_dwarven_1.png,src/main/resources/assets/lotr/textures/entity/equipment/humanoid/blue_dwarven.png,ported
armor,armor/blue_dwarven_2.png,src/main/resources/assets/lotr/textures/entity/equipment/humanoid_leggings/blue_dwarven.png,ported
armor,armor/bone_1.png,src/main/resources/assets/lotr/textures/entity/equipment/humanoid/bone.png,ported
armor,armor/bone_2.png,src/main/resources/assets/lotr/textures/entity/equipment/humanoid_leggings/bone.png,ported
armor,armor/bronze_1.png,src/main/resources/assets/lotr/textures/entity/equipment/humanoid/bronze.png,ported
armor,armor/bronze_2.png,src/main/resources/assets/lotr/textures/entity/equipment/humanoid_leggings/bronze.png,ported
